--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044023_30바7305.jpg	30바7305                  	0.2772
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044030_3바7305.jpg	30어7305                  	0.6084
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044157_26마0597.jpg	26머0597                  	0.6552
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044202_26아0597.jpg	26머0597                  	0.3469
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044206_267버9399.jpg	267버9399                 	0.2944
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044213_26버9399.jpg	267버93992                	0.7575
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044222_2677버9399.jpg	267버9399                 	0.3514
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044227_26버9397.jpg	267버9399                 	0.5394
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044232_26구버9399.jpg	267어9399                 	0.2850
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044237_26767버9399.jpg	267머9399                 	0.5615
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044239_2677버9395.jpg	267머9399                 	0.1132
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044300_50루9019.jpg	50루9019                  	0.5709
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044315_707버9399.jpg	6280100                  	0.9398
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044323_50부9017.jpg	10루9019                  	0.6105
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044332_50루9017.jpg	50루9019                  	0.2815
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044334_50무9019.jpg	50루9019                  	0.3875
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044339_137주1934.jpg	137주1934                 	0.4471
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044349_13주1934.jpg	137수1934                 	0.6785
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044359_37주1934.jpg	137주1934                 	0.4494
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044408_137주1933.jpg	137주1934                 	0.5527
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044704_30바8190.jpg	30어8190                  	0.6507
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-044718_3바8190.jpg	30어8190                  	0.6450
